month,region,category,channel,orders,units,gross_cents,discount_cents,cogs_cents,plan_cents
2024-02-01,East,Furniture,Online,68,136,2652000,331500,1803360,2366910
2024-02-01,East,Technology,Direct,53,159,2257800,79023,1377258,2222353
2024-02-01,East,Technology,Online,68,204,2896800,202776,1767048,2747904
2024-02-01,North,Essentials,Direct,48,240,912000,31920,483360,897682
2024-02-01,North,Essentials,Online,66,330,1254000,87780,664620,1189544
2024-02-01,North,Furniture,Direct,58,116,2262000,203580,1538160,2099588
2024-02-01,North,Furniture,Online,75,150,2925000,365625,1989000,2610563
2024-02-01,North,Technology,Direct,66,198,2811600,98406,1715076,2767458
2024-02-01,North,Technology,Online,72,216,3067200,214704,1870992,2909546
2024-02-01,South,Essentials,Direct,57,285,1083000,37905,573990,1065997
2024-02-01,South,Essentials,Online,66,330,1254000,87780,664620,1189544
2024-02-01,South,Furniture,Direct,59,118,2301000,207090,1564680,2135788
2024-02-01,South,Furniture,Online,77,154,3003000,375375,2042040,2680178
2024-02-01,South,Technology,Direct,65,195,2769000,96915,1689090,2725527
2024-02-01,South,Technology,Online,89,267,3791400,265398,2312754,3596522
2024-02-01,West,Essentials,Direct,64,320,1216000,42560,644480,1196909
2024-02-01,West,Essentials,Online,77,385,1463000,102410,775390,1387802
2024-02-01,West,Furniture,Direct,74,148,2886000,259740,1962480,2678785
2024-02-01,West,Furniture,Online,87,174,3393000,424125,2307240,3028253
2024-02-01,West,Technology,Direct,79,237,3365400,117789,2052894,3312563
2024-02-01,West,Technology,Online,97,291,4132200,289254,2520642,3919805
2024-03-01,East,Essentials,Direct,50,250,950000,33250,503500,935085
2024-03-01,East,Essentials,Online,66,330,1254000,87780,664620,1189544
2024-03-01,East,Furniture,Direct,57,114,2223000,200070,1511640,2063389
2024-03-01,East,Furniture,Online,67,134,2613000,326625,1776840,2332103
2024-03-01,East,Technology,Direct,57,171,2428200,84987,1481202,2390077
2024-03-01,East,Technology,Online,85,255,3621000,253470,2208810,3434881
2024-03-01,North,Essentials,Direct,59,295,1121000,39235,594130,1103400
2024-03-01,North,Essentials,Online,76,380,1444000,101080,765320,1369778
2024-03-01,North,Furniture,Direct,62,124,2418000,217620,1644240,2244388
2024-03-01,North,Furniture,Online,87,174,3393000,424125,2307240,3028253
2024-03-01,North,Technology,Direct,69,207,2939400,102879,1793034,2893251
2024-03-01,North,Technology,Online,88,264,3748800,262416,2286768,3556112
2024-03-01,South,Essentials,Direct,59,295,1121000,39235,594130,1103400
2024-03-01,South,Essentials,Online,82,410,1558000,109060,825740,1477919
2024-03-01,South,Furniture,Direct,65,130,2535000,228150,1723800,2352987
2024-03-01,South,Furniture,Online,84,168,3276000,409500,2227680,2923830
2024-03-01,South,Technology,Direct,82,246,3493200,122262,2130852,3438357
2024-03-01,South,Technology,Online,102,306,4345200,304164,2650572,4121857
2024-03-01,West,Essentials,Direct,68,340,1292000,45220,684760,1271716
2024-03-01,West,Essentials,Online,83,415,1577000,110390,835810,1495942
2024-03-01,West,Furniture,Direct,80,160,3120000,280800,2121600,2895984
2024-03-01,West,Furniture,Online,95,190,3705000,463125,2519400,3306713
2024-03-01,West,Technology,Direct,82,246,3493200,122262,2130852,3438357
2024-03-01,West,Technology,Online,107,321,4558200,319074,2780502,4323909
2024-04-01,East,Essentials,Direct,46,230,874000,30590,463220,860278
2024-04-01,East,Essentials,Online,62,310,1178000,82460,624340,1117451
2024-04-01,East,Furniture,Direct,54,108,2106000,189540,1432080,1954789
2024-04-01,East,Furniture,Online,66,132,2574000,321750,1750320,2297295
2024-04-01,East,Technology,Direct,62,186,2641200,92442,1611132,2599733
2024-04-01,East,Technology,Online,74,222,3152400,220668,1922964,2990367
2024-04-01,North,Essentials,Direct,51,255,969000,33915,513570,953787
2024-04-01,North,Essentials,Online,76,380,1444000,101080,765320,1369778
2024-04-01,North,Furniture,Direct,64,128,2496000,224640,1697280,2316787
2024-04-01,North,Furniture,Online,72,144,2808000,351000,1909440,2506140
2024-04-01,North,Technology,Direct,71,213,3024600,105861,1845006,2977114
2024-04-01,North,Technology,Online,84,252,3578400,250488,2182824,3394470
2024-04-01,South,Essentials,Direct,57,285,1083000,37905,573990,1065997
2024-04-01,South,Essentials,Online,82,410,1558000,109060,825740,1477919
2024-04-01,South,Furniture,Direct,70,140,2730000,245700,1856400,2533986
2024-04-01,South,Furniture,Online,87,174,3393000,424125,2307240,3028253
2024-04-01,South,Technology,Direct,79,237,3365400,117789,2052894,3312563
2024-04-01,South,Technology,Online,87,261,3706200,259434,2260782,3515701
2024-04-01,West,Essentials,Direct,68,340,1292000,45220,684760,1271716
2024-04-01,West,Essentials,Online,84,420,1596000,111720,845880,1513966
2024-04-01,West,Furniture,Direct,71,142,2769000,249210,1882920,2570186
2024-04-01,West,Furniture,Online,97,194,3783000,472875,2572440,3376328
2024-04-01,West,Technology,Direct,81,243,3450600,120771,2104866,3396426
2024-04-01,West,Technology,Online,93,279,3961800,277326,2416698,3758163
2024-05-01,East,Essentials,Direct,48,240,912000,31920,483360,897682
2024-05-01,East,Essentials,Online,71,355,1349000,94430,714970,1279661
2024-05-01,East,Furniture,Direct,55,110,2145000,193050,1458600,1990989
2024-05-01,East,Furniture,Online,73,146,2847000,355875,1935960,2540948
2024-05-01,East,Technology,Direct,67,201,2854200,99897,1741062,2809389
2024-05-01,East,Technology,Online,77,231,3280200,229614,2000922,3111598
2024-05-01,North,Essentials,Direct,54,270,1026000,35910,543780,1009892
2024-05-01,North,Essentials,Online,76,380,1444000,101080,765320,1369778
2024-05-01,North,Furniture,Direct,67,134,2613000,235170,1776840,2425387
2024-05-01,North,Furniture,Online,78,156,3042000,380250,2068560,2714985
2024-05-01,North,Technology,Direct,77,231,3280200,114807,2000922,3228701
2024-05-01,North,Technology,Online,91,273,3876600,271362,2364726,3677343
2024-05-01,South,Essentials,Direct,61,305,1159000,40565,614270,1140804
2024-05-01,South,Essentials,Online,88,440,1672000,117040,886160,1586059
2024-05-01,South,Furniture,Direct,76,152,2964000,266760,2015520,2751185
2024-05-01,South,Furniture,Online,98,196,3822000,477750,2598960,3411135
2024-05-01,South,Technology,Direct,76,228,3237600,113316,1974936,3186770
2024-05-01,South,Technology,Online,98,294,4174800,292236,2546628,3960215
2024-05-01,West,Essentials,Direct,72,360,1368000,47880,725040,1346522
2024-05-01,West,Essentials,Online,99,495,1881000,131670,996930,1784317
2024-05-01,West,Furniture,Direct,83,166,3237000,291330,2201160,3004583
2024-05-01,West,Furniture,Online,102,204,3978000,497250,2705040,3550365
2024-05-01,West,Technology,Direct,84,252,3578400,125244,2182824,3522219
2024-05-01,West,Technology,Online,104,312,4430400,310128,2702544,4202677
2024-06-01,East,Essentials,Direct,53,265,1007000,35245,533710,991190
2024-06-01,East,Essentials,Online,69,345,1311000,91770,694830,1243615
2024-06-01,East,Furniture,Direct,56,112,2184000,196560,1485120,2027189
2024-06-01,East,Furniture,Online,73,146,2847000,355875,1935960,2540948
2024-06-01,East,Technology,Direct,62,186,2641200,92442,1611132,2599733
2024-06-01,East,Technology,Online,88,264,3748800,262416,2286768,3556112
2024-06-01,North,Essentials,Direct,61,305,1159000,40565,614270,1140804
2024-06-01,North,Essentials,Online,82,410,1558000,109060,825740,1477919
2024-06-01,North,Furniture,Direct,67,134,2613000,235170,1776840,2425387
2024-06-01,North,Furniture,Online,81,162,3159000,394875,2148120,2819408
2024-06-01,North,Technology,Direct,73,219,3109800,108843,1896978,3060976
2024-06-01,North,Technology,Online,89,267,3791400,265398,2312754,3596522
2024-06-01,South,Essentials,Direct,70,350,1330000,46550,704900,1309119
2024-06-01,South,Essentials,Online,87,435,1653000,115710,876090,1568036
2024-06-01,South,Furniture,Direct,81,162,3159000,284310,2148120,2932184
2024-06-01,South,Furniture,Online,94,188,3666000,458250,2492880,3271905
2024-06-01,South,Technology,Direct,80,240,3408000,119280,2078880,3354494
2024-06-01,South,Technology,Online,110,330,4686000,328020,2858460,4445140
2024-06-01,West,Essentials,Direct,75,375,1425000,49875,755250,1402628
2024-06-01,West,Essentials,Online,90,450,1710000,119700,906300,1622106
2024-06-01,West,Furniture,Direct,83,166,3237000,291330,2201160,3004583
2024-06-01,West,Furniture,Online,100,200,3900000,487500,2652000,3480750
2024-06-01,West,Technology,Direct,100,300,4260000,149100,2598600,4193118
2024-06-01,West,Technology,Online,109,327,4643400,325038,2832474,4404729
2024-07-01,East,Essentials,Direct,43,215,817000,28595,433010,804173
2024-07-01,East,Essentials,Online,62,310,1178000,82460,624340,1117451
2024-07-01,East,Furniture,Direct,57,114,2223000,200070,1511640,2063389
2024-07-01,East,Furniture,Online,73,146,2847000,355875,1935960,2540948
2024-07-01,East,Technology,Direct,56,168,2385600,83496,1455216,2348146
2024-07-01,East,Technology,Online,83,249,3535800,247506,2156838,3354060
2024-07-01,North,Essentials,Direct,58,290,1102000,38570,584060,1084699
2024-07-01,North,Essentials,Online,67,335,1273000,89110,674690,1207568
2024-07-01,North,Furniture,Direct,56,112,2184000,196560,1485120,2027189
2024-07-01,North,Furniture,Online,81,162,3159000,394875,2148120,2819408
2024-07-01,North,Technology,Direct,64,192,2726400,95424,1663104,2683596
2024-07-01,North,Technology,Online,90,270,3834000,268380,2338740,3636932
2024-07-01,South,Essentials,Direct,58,290,1102000,38570,584060,1084699
2024-07-01,South,Essentials,Online,81,405,1539000,107730,815670,1459895
2024-07-01,South,Furniture,Direct,64,128,2496000,224640,1697280,2316787
2024-07-01,South,Furniture,Online,81,162,3159000,394875,2148120,2819408
2024-07-01,South,Technology,Direct,71,213,3024600,105861,1845006,2977114
2024-07-01,South,Technology,Online,99,297,4217400,295218,2572614,4000626
2024-07-01,West,Essentials,Direct,66,330,1254000,43890,664620,1234312
2024-07-01,West,Essentials,Online,92,460,1748000,122360,926440,1658153
2024-07-01,West,Furniture,Direct,75,150,2925000,263250,1989000,2714985
2024-07-01,West,Furniture,Online,96,192,3744000,468000,2545920,3341520
2024-07-01,West,Technology,Direct,86,258,3663600,128226,2234796,3606081
2024-07-01,West,Technology,Online,93,279,3961800,277326,2416698,3758163
2024-08-01,East,Essentials,Direct,47,235,893000,31255,473290,878980
2024-08-01,East,Essentials,Online,67,335,1273000,89110,674690,1207568
2024-08-01,East,Furniture,Direct,61,122,2379000,214110,1617720,2208188
2024-08-01,East,Furniture,Online,76,152,2964000,370500,2015520,2645370
2024-08-01,East,Technology,Direct,60,180,2556000,89460,1559160,2515871
2024-08-01,East,Technology,Online,88,264,3748800,262416,2286768,3556112
2024-08-01,North,Essentials,Direct,57,285,1083000,37905,573990,1065997
2024-08-01,North,Essentials,Online,83,415,1577000,110390,835810,1495942
2024-08-01,North,Furniture,Direct,64,128,2496000,224640,1697280,2316787
2024-08-01,North,Furniture,Online,81,162,3159000,394875,2148120,2819408
2024-08-01,North,Technology,Direct,72,216,3067200,107352,1870992,3019045
2024-08-01,North,Technology,Online,98,294,4174800,292236,2546628,3960215
2024-08-01,South,Essentials,Direct,66,330,1254000,43890,664620,1234312
2024-08-01,South,Essentials,Online,86,430,1634000,114380,866020,1550012
2024-08-01,South,Furniture,Direct,70,140,2730000,245700,1856400,2533986
2024-08-01,South,Furniture,Online,89,178,3471000,433875,2360280,3097868
2024-08-01,South,Technology,Direct,78,234,3322800,116298,2026908,3270632
2024-08-01,South,Technology,Online,97,291,4132200,289254,2520642,3919805
2024-08-01,West,Essentials,Direct,71,355,1349000,47215,714970,1327821
2024-08-01,West,Essentials,Online,94,470,1786000,125020,946580,1694200
2024-08-01,West,Furniture,Direct,80,160,3120000,280800,2121600,2895984
2024-08-01,West,Furniture,Online,101,202,3939000,492375,2678520,3515557
2024-08-01,West,Technology,Direct,94,282,4004400,140154,2442684,3941531
2024-08-01,West,Technology,Online,105,315,4473000,313110,2728530,4243088
2024-09-01,East,Essentials,Direct,54,270,1026000,35910,543780,1009892
2024-09-01,East,Essentials,Online,79,395,1501000,105070,795530,1423849
2024-09-01,East,Furniture,Direct,59,118,2301000,207090,1564680,2135788
2024-09-01,East,Furniture,Online,87,174,3393000,424125,2307240,3028253
2024-09-01,East,Technology,Direct,75,225,3195000,111825,1948950,3144839
2024-09-01,East,Technology,Online,91,273,3876600,271362,2364726,3677343
2024-09-01,North,Essentials,Direct,62,310,1178000,41230,624340,1159505
2024-09-01,North,Essentials,Online,89,445,1691000,118370,896230,1604083
2024-09-01,North,Furniture,Direct,68,136,2652000,238680,1803360,2461586
2024-09-01,North,Furniture,Online,88,176,3432000,429000,2333760,3063060
2024-09-01,North,Technology,Direct,79,237,3365400,117789,2052894,3312563
2024-09-01,North,Technology,Online,92,276,3919200,274344,2390712,3717753
2024-09-01,South,Essentials,Direct,70,350,1330000,46550,704900,1309119
2024-09-01,South,Essentials,Online,91,455,1729000,121030,916370,1640129
2024-09-01,South,Furniture,Direct,79,158,3081000,277290,2095080,2859784
2024-09-01,South,Furniture,Online,96,192,3744000,468000,2545920,3341520
2024-09-01,South,Technology,Direct,84,252,3578400,125244,2182824,3522219
2024-09-01,South,Technology,Online,100,300,4260000,298200,2598600,4041036
2024-09-01,West,Essentials,Direct,78,390,1482000,51870,785460,1458733
2024-09-01,West,Essentials,Online,103,515,1957000,136990,1037210,1856410
2024-09-01,West,Furniture,Direct,96,192,3744000,336960,2545920,3475181
2024-09-01,West,Furniture,Online,108,216,4212000,526500,2864160,3759210
2024-09-01,West,Technology,Direct,100,300,4260000,149100,2598600,4193118
2024-09-01,West,Technology,Online,124,372,5282400,369768,3222264,5010885
2024-10-01,East,Essentials,Direct,50,250,950000,33250,503500,935085
2024-10-01,East,Essentials,Online,74,370,1406000,98420,745180,1333732
2024-10-01,East,Furniture,Direct,59,118,2301000,207090,1564680,2135788
2024-10-01,East,Furniture,Online,84,168,3276000,409500,2227680,2923830
2024-10-01,East,Technology,Direct,68,204,2896800,101388,1767048,2851320
2024-10-01,East,Technology,Online,90,270,3834000,268380,2338740,3636932
2024-10-01,North,Essentials,Direct,60,300,1140000,39900,604200,1122102
2024-10-01,North,Essentials,Online,79,395,1501000,105070,795530,1423849
2024-10-01,North,Furniture,Direct,72,144,2808000,252720,1909440,2606386
2024-10-01,North,Furniture,Online,85,170,3315000,414375,2254200,2958638
2024-10-01,North,Technology,Direct,81,243,3450600,120771,2104866,3396426
2024-10-01,North,Technology,Online,103,309,4387800,307146,2676558,4162267
2024-10-01,South,Essentials,Direct,70,350,1330000,46550,704900,1309119
2024-10-01,South,Essentials,Online,96,480,1824000,127680,966720,1730246
2024-10-01,South,Furniture,Direct,74,148,2886000,259740,1962480,2678785
2024-10-01,South,Furniture,Online,94,188,3666000,458250,2492880,3271905
2024-10-01,South,Technology,Direct,89,267,3791400,132699,2312754,3731875
2024-10-01,South,Technology,Online,101,303,4302600,301182,2624586,4081446
2024-10-01,West,Essentials,Direct,75,375,1425000,49875,755250,1402628
2024-10-01,West,Essentials,Online,100,500,1900000,133000,1007000,1802340
2024-10-01,West,Furniture,Direct,83,166,3237000,291330,2201160,3004583
2024-10-01,West,Furniture,Online,103,206,4017000,502125,2731560,3585173
2024-10-01,West,Technology,Direct,94,282,4004400,140154,2442684,3941531
2024-10-01,West,Technology,Online,115,345,4899000,342930,2988390,4647191
2024-11-01,East,Essentials,Direct,61,305,1159000,40565,614270,1140804
2024-11-01,East,Essentials,Online,82,410,1558000,109060,825740,1477919
2024-11-01,East,Furniture,Direct,71,142,2769000,249210,1882920,2570186
2024-11-01,East,Furniture,Online,87,174,3393000,424125,2307240,3028253
2024-11-01,East,Technology,Direct,76,228,3237600,113316,1974936,3186770
2024-11-01,East,Technology,Online,111,333,4728600,331002,2884446,4485550
2024-11-01,North,Essentials,Direct,76,380,1444000,50540,765320,1421329
2024-11-01,North,Essentials,Online,89,445,1691000,118370,896230,1604083
2024-11-01,North,Furniture,Direct,88,176,3432000,308880,2333760,3185582
2024-11-01,North,Furniture,Online,110,220,4290000,536250,2917200,3828825
2024-11-01,North,Technology,Direct,96,288,4089600,143136,2494656,4025393
2024-11-01,North,Technology,Online,118,354,5026800,351876,3066348,4768422
2024-11-01,South,Essentials,Direct,84,420,1596000,55860,845880,1570943
2024-11-01,South,Essentials,Online,106,530,2014000,140980,1067420,1910480
2024-11-01,South,Furniture,Direct,91,182,3549000,319410,2413320,3294182
2024-11-01,South,Furniture,Online,107,214,4173000,521625,2837640,3724403
2024-11-01,South,Technology,Direct,97,291,4132200,144627,2520642,4067324
2024-11-01,South,Technology,Online,126,378,5367600,375732,3274236,5091705
2024-11-01,West,Essentials,Direct,87,435,1653000,57855,876090,1627048
2024-11-01,West,Essentials,Online,121,605,2299000,160930,1218470,2180831
2024-11-01,West,Furniture,Direct,105,210,4095000,368550,2784600,3800979
2024-11-01,West,Furniture,Online,118,236,4602000,575250,3129360,4107285
2024-11-01,West,Technology,Direct,118,354,5026800,175938,3066348,4947879
2024-11-01,West,Technology,Online,135,405,5751000,402570,3508110,5455399
2024-12-01,East,Essentials,Direct,69,345,1311000,45885,694830,1290417
2024-12-01,East,Essentials,Online,89,445,1691000,118370,896230,1604083
2024-12-01,East,Furniture,Direct,75,150,2925000,263250,1989000,2714985
2024-12-01,East,Furniture,Online,102,204,3978000,497250,2705040,3550365
2024-12-01,East,Technology,Direct,91,273,3876600,135681,2364726,3815737
2024-12-01,East,Technology,Online,105,315,4473000,313110,2728530,4243088
2024-12-01,North,Essentials,Direct,84,420,1596000,55860,845880,1570943
2024-12-01,North,Essentials,Online,98,490,1862000,130340,986860,1766293
2024-12-01,North,Furniture,Direct,81,162,3159000,284310,2148120,2932184
2024-12-01,North,Furniture,Online,113,226,4407000,550875,2996760,3933248
2024-12-01,North,Technology,Direct,104,312,4430400,155064,2702544,4360843
2024-12-01,North,Technology,Online,120,360,5112000,357840,3118320,4849243
2024-12-01,South,Essentials,Direct,95,475,1805000,63175,956650,1776662
2024-12-01,South,Essentials,Online,116,580,2204000,154280,1168120,2090714
2024-12-01,South,Furniture,Direct,93,186,3627000,326430,2466360,3366581
2024-12-01,South,Furniture,Online,130,260,5070000,633750,3447600,4524975
2024-12-01,South,Technology,Direct,111,333,4728600,165501,2884446,4654361
2024-12-01,South,Technology,Online,126,378,5367600,375732,3274236,5091705
2024-12-01,West,Essentials,Direct,94,470,1786000,62510,946580,1757960
2024-12-01,West,Essentials,Online,120,600,2280000,159600,1208400,2162808
2024-12-01,West,Furniture,Direct,116,232,4524000,407160,3076320,4199177
2024-12-01,West,Furniture,Online,141,282,5499000,687375,3739320,4907858
2024-12-01,West,Technology,Direct,120,360,5112000,178920,3118320,5031742
2024-12-01,West,Technology,Online,136,408,5793600,405552,3534096,5495809
2025-01-01,East,Essentials,Direct,42,210,817950,28628,433514,826909
2025-01-01,East,Essentials,Online,58,290,1129550,79069,598662,1069035
2025-01-01,East,Furniture,Direct,51,102,2038725,183485,1437301,1639638
2025-01-01,East,Furniture,Online,65,130,2598375,324797,1831854,2214713
2025-01-01,East,Technology,Direct,62,186,2707230,94753,1651410,2260995
2025-01-01,East,Technology,Online,73,219,3187545,223128,1944402,2789107
2025-01-01,North,Essentials,Direct,51,255,993225,34763,526409,988257
2025-01-01,North,Essentials,Online,69,345,1343775,94064,712201,1263405
2025-01-01,North,Furniture,Direct,56,112,2238600,201474,1578213,2147145
2025-01-01,North,Furniture,Online,79,158,3158025,394753,2226408,2439938
2025-01-01,North,Technology,Direct,64,192,2794560,97810,1704682,2803634
2025-01-01,North,Technology,Online,76,228,3318540,232298,2024309,3224905
2025-01-01,South,Essentials,Direct,59,295,1149025,40216,608983,1129436
2025-01-01,South,Essentials,Online,78,390,1519050,106334,805097,1321716
2025-01-01,South,Furniture,Direct,62,124,2478450,223061,1747307,2147145
2025-01-01,South,Furniture,Online,80,160,3198000,399750,2254590,2927925
2025-01-01,South,Technology,Direct,69,207,3012885,105451,1837860,3074953
2025-01-01,South,Technology,Online,89,267,3886185,272033,2370573,3355645
2025-01-01,West,Essentials,Direct,71,355,1382725,48395,732844,1375125
2025-01-01,West,Essentials,Online,80,400,1558000,109060,825740,1634475
2025-01-01,West,Furniture,Direct,73,146,2918175,393954,2057313,2706113
2025-01-01,West,Furniture,Online,85,170,3397875,577639,2395502,3583125
2025-01-01,West,Technology,Direct,81,243,3536865,123790,2157488,3905355
2025-01-01,West,Technology,Online,100,300,4366500,305655,2663565,4556070
2025-02-01,East,Essentials,Direct,46,230,895850,31355,474801,766403
2025-02-01,East,Essentials,Online,65,325,1265875,88611,670914,1146783
2025-02-01,East,Furniture,Direct,54,108,2158650,194279,1521848,1951950
2025-02-01,East,Furniture,Online,71,142,2838225,354778,2000949,2552550
2025-02-01,East,Technology,Direct,62,186,2707230,94753,1651410,2396655
2025-02-01,East,Technology,Online,73,219,3187545,223128,1944402,2963426
2025-02-01,North,Essentials,Direct,51,255,993225,34763,526409,968088
2025-02-01,North,Essentials,Online,66,330,1285350,89975,681236,1282842
2025-02-01,North,Furniture,Direct,57,114,2278575,205072,1606395,2264262
2025-02-01,North,Furniture,Online,80,160,3198000,399750,2254590,2815313
2025-02-01,North,Technology,Direct,66,198,2881890,100866,1757953,2984513
2025-02-01,North,Technology,Online,84,252,3667860,256750,2237395,3137746
2025-02-01,South,Essentials,Direct,65,325,1265875,44306,670914,1149605
2025-02-01,South,Essentials,Online,82,410,1596950,111787,846384,1282842
2025-02-01,South,Furniture,Direct,68,136,2718300,244647,1916402,2303301
2025-02-01,South,Furniture,Online,88,176,3517800,439725,2480049,2890388
2025-02-01,South,Technology,Direct,76,228,3318540,116149,2024309,2939294
2025-02-01,South,Technology,Online,99,297,4322835,302598,2636929,3878602
2025-02-01,West,Essentials,Direct,66,330,1285350,44987,681236,1466800
2025-02-01,West,Essentials,Online,93,465,1811175,126782,959923,1700738
2025-02-01,West,Furniture,Direct,70,140,2798250,377764,1972766,3282825
2025-02-01,West,Furniture,Online,87,174,3477825,591230,2451867,3711094
2025-02-01,West,Technology,Direct,80,240,3493200,122262,2130852,4059514
2025-02-01,West,Technology,Online,107,321,4672155,327051,2850015,4803683
2025-03-01,East,Essentials,Direct,52,260,1012700,35445,536731,1008425
2025-03-01,East,Essentials,Online,69,345,1343775,94064,712201,1282842
2025-03-01,East,Furniture,Direct,66,132,2638350,237452,1860037,2225223
2025-03-01,East,Furniture,Online,78,156,3118050,389756,2198225,2515013
2025-03-01,East,Technology,Direct,68,204,2969220,103923,1811224,2577534
2025-03-01,East,Technology,Online,82,246,3580530,250637,2184123,3704283
2025-03-01,North,Essentials,Direct,57,285,1110075,38853,588340,1189942
2025-03-01,North,Essentials,Online,86,430,1674850,117240,887671,1477212
2025-03-01,North,Furniture,Direct,72,144,2878200,259038,2029131,2420418
2025-03-01,North,Furniture,Online,95,190,3797625,474703,2677326,3265763
2025-03-01,North,Technology,Direct,76,228,3318540,116149,2024309,3120173
2025-03-01,North,Technology,Online,90,270,3929850,275090,2397209,3835022
2025-03-01,South,Essentials,Direct,71,355,1382725,48395,732844,1189942
2025-03-01,South,Essentials,Online,87,435,1694325,118603,897992,1593834
2025-03-01,South,Furniture,Direct,83,166,3317925,298613,2339137,2537535
2025-03-01,South,Furniture,Online,100,200,3997500,499688,2818238,3153150
2025-03-01,South,Technology,Direct,86,258,3755190,131432,2290666,3708032
2025-03-01,South,Technology,Online,104,312,4541160,317881,2770108,4445140
2025-03-01,West,Essentials,Direct,85,425,1655375,57938,877349,1558475
2025-03-01,West,Essentials,Online,102,510,1986450,139052,1052819,1833263
2025-03-01,West,Furniture,Direct,87,174,3477825,469506,2451867,3549000
2025-03-01,West,Furniture,Online,114,228,4557150,774716,3212791,4052344
2025-03-01,West,Technology,Direct,88,264,3842520,134488,2343937,4213673
2025-03-01,West,Technology,Online,117,351,5108805,357616,3116371,5298908
2025-04-01,East,Essentials,Direct,48,240,934800,32718,495444,927751
2025-04-01,East,Essentials,Online,65,325,1265875,88611,670914,1205094
2025-04-01,East,Furniture,Direct,58,116,2318550,208669,1634578,2108106
2025-04-01,East,Furniture,Online,80,160,3198000,399750,2254590,2477475
2025-04-01,East,Technology,Direct,67,201,2925555,102394,1784589,2803634
2025-04-01,East,Technology,Online,87,261,3798855,265920,2317302,3224905
2025-04-01,North,Essentials,Direct,59,295,1149025,40216,608983,1028594
2025-04-01,North,Essentials,Online,74,370,1441150,100881,763810,1477212
2025-04-01,North,Furniture,Direct,66,132,2638350,237452,1860037,2498496
2025-04-01,North,Furniture,Online,79,158,3158025,394753,2226408,2702700
2025-04-01,North,Technology,Direct,76,228,3318540,116149,2024309,3210613
2025-04-01,North,Technology,Online,89,267,3886185,272033,2370573,3660703
2025-04-01,South,Essentials,Direct,69,345,1343775,47032,712201,1149605
2025-04-01,South,Essentials,Online,84,420,1635900,114513,867027,1593834
2025-04-01,South,Furniture,Direct,72,144,2878200,259038,2029131,2732730
2025-04-01,South,Furniture,Online,95,190,3797625,474703,2677326,3265763
2025-04-01,South,Technology,Direct,87,261,3798855,132960,2317302,3572372
2025-04-01,South,Technology,Online,108,324,4715820,330107,2876650,3791443
2025-04-01,West,Essentials,Direct,72,360,1402200,49077,743166,1558475
2025-04-01,West,Essentials,Online,91,455,1772225,124056,939279,1855350
2025-04-01,West,Furniture,Direct,79,158,3158025,426333,2226408,3149738
2025-04-01,West,Furniture,Online,99,198,3957525,672779,2790055,4137656
2025-04-01,West,Technology,Direct,85,255,3711525,129903,2264030,4162286
2025-04-01,West,Technology,Online,116,348,5065140,354560,3089735,4605593
2025-05-01,East,Essentials,Direct,58,290,1129550,39534,598662,968088
2025-05-01,East,Essentials,Online,79,395,1538525,107697,815418,1380027
2025-05-01,East,Furniture,Direct,64,128,2558400,230256,1803672,2147145
2025-05-01,East,Furniture,Online,77,154,3078075,384759,2170043,2740238
2025-05-01,East,Technology,Direct,75,225,3274875,114621,1997674,3029733
